,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.0014184397163120568,1.5631222635861488e-05,1.0,1.0,0.0,0.0,2,1,1,1,1,2,False,False
1,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.0028368794326241137,0.0010160294713309967,0.0,0.5,0.0,0.0,2,2,2,1,2,2,False,False
2,0.0,0.0,0.0,0.0,0.0014184397163120568,0.0,1.0,1.0,0.0,0.0,2,4,1,9,3,2,False,False
3,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.0028368794326241137,5.7314483003369194e-05,0.25,0.7000000000000001,0.0,0.0,2,3,2,2,4,2,False,False
4,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.014184397163120569,0.009824223426638945,0.1,0.25,0.0,0.0,2,3,3,1,4,2,True,False
5,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.02695035460992908,0.002426226273984008,0.07894737,0.12280701999999999,0.0,0.0,2,2,2,1,3,2,False,False
6,0.0,0.0,0.0,0.0,0.0014184397163120568,0.0,1.0,1.0,0.0,0.4,2,2,4,3,3,2,False,False
7,0.037037037037037035,0.0,0.0,0.0,0.0014184397163120568,0.0,1.0,1.0,0.0,0.0,2,1,2,1,5,2,True,False
8,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.0028368794326241137,0.0005939864601627365,0.0,0.5,0.0,0.8,2,2,2,2,3,2,False,False
9,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.00425531914893617,0.01155147352790164,0.0,0.11111111,0.0,0.4,2,2,4,1,2,2,False,False
10,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.00425531914893617,0.006189964163801149,0.0,0.333333335,0.0,0.0,2,1,1,3,3,2,False,False
11,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.02269503546099291,0.006389262252408383,0.09375,0.129166665,0.0,0.4,2,1,1,4,3,2,False,False
12,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.009929078014184398,0.004400189171995009,0.0,0.142857145,0.0,0.0,2,1,1,1,3,2,False,False
13,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.00851063829787234,0.0015474910409502872,0.0,0.333333335,0.0,0.0,2,2,5,1,3,2,False,False
14,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.0028368794326241137,0.0010785543618744425,0.0,0.5,0.0,0.0,2,3,2,3,3,2,False,False
15,0.07407407407407407,0.01588352084712111,0.0,0.00039209920109787774,0.03262411347517731,0.026092967337819538,0.041666665,0.08156317999999999,0.0,0.0,2,1,1,9,3,2,False,False
16,0.0,0.0,0.0,0.0,0.0014184397163120568,0.0,1.0,1.0,0.0,0.0,2,1,1,4,3,2,False,False
17,0.0,0.0002941392749466873,0.0,0.00039209920109787774,0.01843971631205674,0.005251569765415972,0.0,0.03846154,0.0,0.0,2,1,1,1,4,2,True,False
